"approved_date","region","condition_name","brand_name","model_name","mfdate","mileage","mileage_v2","fuel_type","gearbox","price"
"2019-01-04",13,"used",,,,"1","0",,,440000000
"2019-01-10",12,"used","Ford","Transit",,"1",,,,100000000
"2019-01-14",12,"used","Ford","Transit",,"1",,,,100000000
"2019-01-01",8,"used","Kia","Pride","2000","1","501","Petrol","Manual",50000000
"2019-01-01",10,"used","Toyota","Innova","2010","1","10","Petrol","Manual",370000000
"2019-01-01",4,"used","Toyota","Innova","2009","14","66666","Petrol","Manual",380000000
"2019-01-01",2,"used","Toyota","Corona","1989","23","123456","Petrol","Manual",62000000
"2019-01-01",3,"used","Audi","Dòng khác","2008","24","130000",,"Auto",760000000
"2019-01-01",2,"used","Kia","Spectra","2005","37","515151","Diesel","Manual",145000000
"2019-01-01",2,"used","Hyundai","Grand Starex","1998","33","300000","Diesel","Manual",185000000
"2019-01-01",12,"used","Mazda","6","2003","26","150000","Petrol","Manual",210000000
"2019-01-01",13,"new","Toyota","Vios","2019","1","0","Petrol","Auto",586000000
"2019-01-01",2,"used","Toyota","Corolla Altis","2002","1","195","Petrol","Manual",255000000
"2019-01-01",12,"used","Kia","Sedona","2016","7","30000",,"Auto",1075000000
"2019-01-01",12,"used","Toyota","Vios","2011","17","82000","Petrol","Manual",340000000
"2019-01-01",7,"used","Kia","Morning","2009","17","83000","Petrol","Auto",215000000
"2019-01-01",5,"used","Kia","Morning","2015","1","1000","Diesel","Auto",430000000
"2019-01-01",13,"used","Toyota","Innova","2011","14","68000","Petrol","Manual",460000000
"2019-01-01",3,"new","Mitsubishi","Attrage","2018","1","0","Petrol","Manual",375000000
"2019-01-01",12,"used","Toyota","Fortuner","2016","10","45000","Diesel","Manual",915000000
"2019-01-01",1,"used","BMW","3 Series","2000","24","130000","Petrol","Manual",158000000
"2019-01-01",2,"used","Kia","K3","2013","8","39000","Diesel","Manual",220000000
"2019-01-01",13,"used","Toyota","Innova","2006","23","120000","Petrol","Manual",360000000
"2019-01-01",5,"used","Toyota","Innova","2018","1","450","Petrol","Manual",720000000
"2019-01-01",3,"used","Kia","Spectra","2005","1","10","Diesel","Manual",152000000
